Country,Score,Year,Rank
Afghanistan,3.575,2015,153
Albania,4.959,2015,95
Algeria,5.605,2015,68
Argentina,4.033,2015,137
Armenia,6.574,2015,30
Australia,4.35,2015,127
Austria,7.284,2015,10
Azerbaijan,7.2,2015,13
Bahrain,5.212,2015,80
Bangladesh,5.96,2015,49
Belarus,4.694,2015,109
Belgium,5.813,2015,59
Benin,6.937,2015,19
Bhutan,3.34,2015,155
Bolivia,5.253,2015,79
Bosnia and Herzegovina,5.89,2015,51
Botswana,4.949,2015,96
Brazil,4.332,2015,128
Bulgaria,6.983,2015,16
Burkina Faso,4.218,2015,134
Burundi,3.587,2015,152
Cambodia,2.905,2015,157
Cameroon,3.819,2015,145
Canada,4.252,2015,133
Central African Republic,7.427,2015,5
Chad,3.678,2015,148
Chile,3.667,2015,149
China,6.67,2015,27
Colombia,5.14,2015,84
Comoros,6.477,2015,33
Congo (Brazzaville),3.956,2015,140
Congo (Kinshasa),3.989,2015,139
Costa Rica,4.517,2015,120
Croatia,7.226,2015,12
Cyprus,5.759,2015,62
Czech Republic,5.689,2015,67
Denmark,6.505,2015,31
Djibouti,7.527,2015,3
Dominican Republic,4.369,2015,126
Ecuador,4.885,2015,98
Egypt,5.975,2015,48
El Salvador,4.194,2015,135
Estonia,6.13,2015,42
Ethiopia,5.429,2015,73
Finland,4.512,2015,122
France,7.406,2015,6
Gabon,6.575,2015,29
Georgia,3.896,2015,143
Germany,4.297,2015,130
Ghana,6.75,2015,26
Greece,4.633,2015,114
Guatemala,4.857,2015,102
Guinea,6.123,2015,43
Haiti,3.656,2015,150
Honduras,4.518,2015,119
Hong Kong,4.788,2015,105
Hungary,5.474,2015,72
Iceland,4.8,2015,104
India,7.561,2015,2
Indonesia,4.565,2015,117
Iran,5.399,2015,74
Iraq,4.686,2015,110
Ireland,4.677,2015,112
Israel,6.94,2015,18
Italy,7.278,2015,11
Ivory Coast,5.948,2015,50
Jamaica,3.655,2015,151
Japan,5.709,2015,65
Jordan,5.987,2015,46
Kazakhstan,5.192,2015,82
Kenya,5.855,2015,54
Kosovo,4.419,2015,125
Kuwait,5.589,2015,69
Kyrgyzstan,6.295,2015,39
Laos,5.286,2015,77
Latvia,4.876,2015,99
Lebanon,5.098,2015,89
Lesotho,4.839,2015,103
Liberia,4.898,2015,97
Libya,4.571,2015,116
Lithuania,5.754,2015,63
Luxembourg,5.833,2015,56
Madagascar,6.946,2015,17
Malawi,5.007,2015,93
Malaysia,3.681,2015,147
Mali,4.292,2015,131
Malta,5.77,2015,61
Mauritania,3.995,2015,138
